% UltraMSK: version 1.0.2
% Site: localhost.localdomain
% Date: 2016-07-23
% Frequency: 24000.000000 Hz
% Baud Rate: 200 Hz
% VLF Channel: 2
% PPS Channel: 1
% Jack Server: default
% Output Format: Polar
% End          
09780.000  -41.74   47.91
09800.000  -41.72   48.19
09820.000  -41.86   47.83
% Warning: sampling overrun detected
09840.000  -41.92   47.98
09860.000  -41.90   48.09
09880.000  -41.88   48.73
09900.000  -41.81   48.98
09920.000  -41.77   49.31
09940.000  -41.76   49.86
% Warning: sampling overrun detected
09960.000  -41.65   50.33
09980.000  -41.64   50.26
10000.000  -41.65   50.17
10020.000  -41.68   50.09
10040.000  -41.73   50.02
10060.000  -41.85   50.02
10080.000  -41.79   50.08
10100.000  -41.75   50.07
10120.000  -41.66   50.07
10140.000  -41.57   50.49
10160.000  -41.47   50.80
10180.000  -41.39   51.24
10200.000  -41.34   51.33
10220.000  -41.33   51.63
10240.000  -41.30   51.92
10260.000  -41.31   52.30
10280.000  -41.28   52.15
10300.000  -41.33   52.26
10320.000  -41.19   52.30
10340.000  -41.08   52.09
10360.000  -41.01   52.14
10380.000  -41.01   52.38
10400.000  -41.02   52.95
10420.000  -40.99   53.50
10440.000  -40.97   53.76
10460.000  -41.03   54.08
10480.000  -41.10   54.32
10500.000  -41.16   54.57
10520.000  -41.20   54.89
10540.000  -41.34   54.83
10560.000  -41.31   54.44
10580.000  -41.31   54.18
10600.000  -41.27   54.02
10620.000  -41.26   53.97
10640.000  -41.25   53.57
10660.000  -41.30   53.18
10680.000  -41.32   53.38
10700.000  -41.27   53.95
10720.000  -41.19   54.38
10740.000  -41.11   55.11
10760.000  -41.03   55.27
10780.000  -41.12   55.71
10800.000  -41.06   56.52
10820.000  -41.10   56.67
10840.000  -41.19   56.82
10860.000  -41.24   56.90
10880.000  -41.26   56.64
10900.000  -41.25   56.39
10920.000  -41.26   56.78
10940.000  -41.22   57.00
10960.000  -41.22   57.12
10980.000  -41.15   57.20
11000.000  -41.18   56.79
11020.000  -41.17   56.52
11040.000  -41.05   56.00
11060.000  -40.99   56.02
11080.000  -40.94   56.45
% Warning: sampling overrun detected
11100.000  -40.84   56.91
11120.000  -40.77   57.00
11140.000  -40.71   57.07
11160.000  -40.65   57.39
11180.000  -40.64   57.97
11200.000  -40.62   58.83
11220.000  -40.63   59.41
11240.000  -40.63   59.77
11260.000  -40.60   60.86
11280.000  -40.48   60.83
11300.000  -40.45   60.72
11320.000  -40.40   60.75
11340.000  -40.36   60.38
11360.000  -40.30   60.49
11380.000  -40.28   60.70
11400.000  -40.28   60.92
11420.000  -40.26   60.73
11440.000  -40.26   60.63
11460.000  -40.26   60.46
11480.000  -40.26   60.46
11500.000  -40.25   60.42
11520.000  -40.22   60.60
11540.000  -40.26   60.73
11560.000  -40.36   61.16
11580.000  -40.45   61.47
11600.000  -40.57   61.70
11620.000  -40.67   61.78
11640.000  -40.69   61.93
11660.000  -40.63   61.54
11680.000  -40.62   61.68
11700.000  -40.66   61.98
11720.000  -40.75   62.85
11740.000  -40.77   63.07
11760.000  -40.74   62.77
11780.000  -40.73   62.39
11800.000  -40.73   61.56
% Warning: sampling overrun detected
11820.000  -40.74   60.77
11840.000  -40.76   59.82
11860.000  -40.78   59.56
11880.000  -40.73   59.36
11900.000  -40.65   59.43
11920.000  -40.62   60.02
11940.000  -40.58   60.61
11960.000  -40.60   61.51
11980.000  -40.59   62.04
12000.000  -40.59   62.70
12020.000  -40.69   63.44
12040.000  -40.78   64.01
12060.000  -40.87   64.09
12080.000  -40.94   64.14
12100.000  -40.95   64.32
12120.000  -40.93   64.27
12140.000  -40.90   64.45
12160.000  -40.93   64.66
12180.000  -40.95   64.31
12200.000  -41.05   63.79
12220.000  -41.00   63.46
12240.000  -40.93   63.79
12260.000  -40.89   63.67
12280.000  -40.84   63.63
12300.000  -40.76   63.39
12320.000  -40.75   63.39
12340.000  -40.67   63.77
12360.000  -40.62   63.84
12380.000  -40.63   64.54
12400.000  -40.64   64.94
% Warning: sampling overrun detected
12420.000  -40.70   65.13
12440.000  -40.80   64.67
12460.000  -40.80   64.22
12480.000  -40.77   64.35
12500.000  -40.78   65.21
12520.000  -40.78   66.04
12540.000  -40.80   66.34
12560.000  -40.77   66.33
12580.000  -40.65   66.02
12600.000  -40.59   66.46
12620.000  -40.56   67.59
12640.000  -40.55   68.40
